S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.
1.,SPARC,179.77,3.73,5836.80
2.,International Ge,332.70,27.03,14368.78
3.,Infosys,1196.90,16.14,485460.05
4.,Dynacons Sys.,1547.80,23.59,1976.87
5.,Euro Pratik Sale,260.00,32.29,2678.50
6.,Blue Cloud Soft.,18.97,23.26,1428.59
7.,Triveni Turbine,638.05,56.26,20325.87
8.,eClerx Services,1553.80,20.68,14604.19
9.,Hexaware Tech.,510.55,21.32,31262.83
10.,Supriya Lifesci.,720.60,31.30,5809.78
11.,TBO Tek,1178.10,54.73,12787.08
12.,Sumitomo Chemi.,468.90,43.16,23404.95
13.,Saksoft,144.04,14.59,1912.28
14.,Ajax Engineering,568.00,28.52,6487.80
15.,Coforge,1412.00,36.93,60650.43
16.,Tata Technolog.,668.55,44.29,27155.22
17.,SEAMEC Ltd,1561.60,15.78,3967.70
18.,Hind Rectifiers,992.95,84.92,3399.36
19.,Fineotex Chem,33.22,35.54,3864.68
20.,Mastek,1660.90,12.12,5144.70
21.,BLS E-Services,201.12,31.79,1828.07
22.,S P I C,70.99,7.16,1442.02
23.,Lodha Developers,892.20,26.01,89156.67
24.,Deep Industries,474.05,8.20,3033.58
25.,Diffusion Eng,329.70,24.30,1235.71
