S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%
1.,Websol Energy,104.29,3796641,1978690,4.99,4.45,-1.91,1976063,14.14,-24.48,4533.83,152.31,96.69,53.80,91.60,25.17,82.37,63.18
2.,eClerx Services,1979.80,3677019,1121266,12.51,22.08,35.94,570844,21.38,7.92,18627.04,24.45,36.05,3.45,-1.13,-14.50,22.32,34.81
3.,Neetu Yoshi,160.85,373600,179840,4.72,18.14,12.33,97524,52.78,13.11,624.30,58.96,52.47,22.76,16.72,70.21,39.33,31.78
4.,Gaudium IVF,143.78,465289,483263,4.99,15.70,37.59,238080,48.36,,1047.98,29.41,28.02,23.83,130.30,,47.57,29.27
5.,Menon Bearings,199.67,244047,138787,5.00,16.41,13.60,118669,58.64,57.46,1126.47,67.38,61.45,5.29,2.39,52.43,27.97,25.50
6.,Tech Mahindra,1572.90,11391935,4188890,4.14,8.12,7.56,3151541,4.07,0.59,154046.22,28.45,17.18,4.22,9.58,-5.84,10.95,23.12
7.,Campus Activewe.,235.97,54518186,11068677,4.11,2.11,1.62,3007857,-4.78,-19.62,7198.22,26.01,23.83,-22.59,-30.68,-5.89,11.37,21.25
8.,Vaibhav Global,262.07,932497,474750,4.15,0.27,5.68,590632,17.15,7.64,4368.95,167.05,76.00,-12.32,1.49,21.59,9.24,16.43
9.,Nilkamal Ltd,1473.50,1730752,599399,9.87,13.04,14.92,159454,12.01,-14.71,2204.79,21.65,18.90,0.33,64.13,5.12,14.05,10.61
10.,Virtuoso Optoel.,509.10,302576,118350,8.15,13.97,31.79,124087,40.48,7.69,1620.45,122.36,11.75,61.97,-22.41,27.24,19.81,9.73
11.,Shadowfax Technologies,223.25,8655336,4120117,9.45,-2.14,3.72,2669460,58.96,,13081.56,648.31,1751.77,6.88,51.30,,65.38,9.66
12.,Landmark Cars,526.25,4509562,10428441,5.31,24.12,24.48,2619821,23.55,-2.66,2188.88,1089.82,131.10,-4.95,5.99,27.82,21.63,9.26
13.,Federal Bank,349.00,46681361,13848248,6.86,5.81,8.15,8778397,18.81,64.17,86073.25,36.78,15.64,-1.07,-6.45,29.14,6.50,6.39
14.,Fino Payments,174.21,60218493,32619110,10.09,28.66,24.52,8530341,22.47,-37.88,1451.03,-65.04,-39.59,1.81,-42.04,-24.19,27.12,4.53
