S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%,S.No.,Name,CMPRs.,Vol 1d,Avg Vol 1Wk,1day return%,1wk return%,1mth return%,Avg Vol 1Mth,3mth return%,1Yr return%,Mar CapRs.Cr.,Qtr Profit Var%,Profit growth%,QoQ Sales%,QoQ Profits%,6mth return%,Sales growth%,ROCE%
1.,Aqylon Nexus,28.00,11560329,10665589,4.95,10.80,-33.16,4647134,-45.63,-76.60,710.71,-3183.33,-568.09,-21.62,-639.86,-85.90,119.63,131.18
2.,Indosolar,344.80,299621,200162,4.80,16.70,-10.35,110254,-18.84,0.51,1433.62,-68.64,-5.73,-17.74,-12.81,-20.64,6.90,123.80
3.,Jeena Sikho,604.25,1048085,564773,4.32,6.57,5.93,469714,-19.24,6.81,7503.10,78.97,151.76,-2.76,-32.04,-15.17,70.85,70.74
4.,V-Marc India,328.95,895500,445200,10.89,20.43,13.49,298773,93.69,351.98,4819.91,157.30,177.85,59.85,74.62,232.00,100.55,41.38
5.,Shukra Pharma.,36.39,1630154,606910,9.97,17.16,5.08,302961,8.50,86.71,1599.75,-132.10,130.17,-83.90,-108.50,-14.28,74.01,36.91
6.,Mazagon Dock,2530.00,4461037,1572571,6.28,9.09,0.27,886140,-4.79,-8.48,102494.31,21.51,31.72,-23.57,-18.35,5.31,13.87,35.98
7.,Hind.Aeronautics,4920.00,5128630,1572279,5.92,7.39,11.81,907432,2.75,8.40,331068.62,5.52,9.08,81.10,124.79,20.96,6.80,31.97
8.,DDev Plastiks,310.60,830681,282710,7.70,16.46,11.39,159533,24.59,8.07,3213.99,5.39,8.50,4.48,13.49,5.70,13.24,31.00
9.,Shaily Engineer.,3366.30,734413,344909,5.99,11.13,20.33,263008,25.65,103.33,15501.93,64.85,127.63,-5.22,36.59,67.47,24.80,30.17
10.,Neuland Labs.,21543.00,1010156,243096,7.95,12.19,13.98,81578,21.95,68.23,27627.39,962.37,277.69,-17.35,-30.56,65.33,78.33,26.47
11.,ASK Automotive,678.80,9752189,6141464,6.47,33.62,45.06,1658992,48.81,44.67,13370.51,28.83,23.18,18.39,18.98,49.50,27.91,25.42
12.,Ram Ratna Wires,467.15,997348,485804,6.94,1.50,15.62,285015,5.04,35.86,4364.79,127.75,94.01,5.73,-10.37,57.63,60.51,23.58
13.,Garware Tech.,838.85,565166,178237,5.20,16.06,15.66,83601,30.84,-2.10,8314.92,21.68,-7.36,13.12,12.82,22.94,4.64,21.96
14.,Rolex Rings,152.80,16394834,8816943,5.51,11.54,8.27,3462068,1.30,10.89,4002.10,22.34,4.92,-0.44,40193.33,21.55,1.82,21.16
15.,Navin Fluo.Intl.,8650.00,4112505,952072,13.67,17.11,14.62,316489,22.84,71.10,44427.72,107.67,124.32,11.45,14.43,34.79,42.43,20.96
16.,Tata Technolog.,801.55,9196069,2289490,6.31,6.68,10.32,1373496,27.04,19.90,32547.09,6.15,-5.02,5.88,-11.47,29.77,15.21,20.90
17.,Pearl Global Ind,2221.50,666882,189975,5.56,9.54,12.73,113320,38.44,66.60,10229.63,50.93,24.25,16.34,22.55,21.08,13.75,19.93
18.,Panama Petrochem,494.95,1167167,329211,8.73,13.68,14.25,328052,62.09,41.37,2988.88,60.56,13.61,6.16,55.16,64.74,9.72,19.15
19.,Ganesh Infra.,119.90,639200,321600,4.90,25.42,29.97,113600,45.42,-46.69,512.23,103.35,104.50,64.98,21.46,11.48,77.14,18.87
