S.No.,Name,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1.,KRM Ayurveda,296.95,198000,107400,4.05,9.98,8.02,92636,20.76,,631.34,124.20,66.28,0.34,16.26,51.20,32.84,35.31
2.,Modison,499.45,838347,302783,10.00,20.39,86.08,221257,51.81,201.35,1627.16,506.77,294.95,-5.86,-6.00,282.43,66.70,30.98
3.,SML Mahindra,5412.50,259750,85579,5.96,4.25,-4.80,144224,41.93,32.45,7847.25,-4.99,9.96,6.67,17.38,22.53,18.07,30.90
4.,Engineers India,280.05,60121233,14895243,6.94,11.85,25.93,5804308,22.82,39.27,15741.19,141.50,41.65,-11.49,-19.22,36.70,16.30,30.40
5.,Aditya Infotech,3726.90,610620,346274,4.51,9.82,9.91,302946,10.62,198.58,44049.87,332.48,214.81,-1.38,-15.92,118.25,51.85,28.56
6.,Dynamic Cables,542.40,11438116,3283325,9.98,26.65,37.25,1211584,64.84,25.66,2628.93,37.01,27.67,-1.79,3.23,90.65,19.10,26.21
7.,Radhika Jeweltec,71.10,4583304,1506032,5.41,6.25,-0.91,1504011,23.48,-23.85,839.23,25.48,26.78,-21.11,203.45,16.96,16.75,25.07
8.,Caplin Point Lab,2711.20,2070379,476547,7.70,9.69,7.72,193190,37.42,28.51,20609.51,15.78,17.73,1.70,3.59,63.99,15.01,24.63
9.,Bhansali Engg.,127.16,3607577,2025716,5.01,-1.90,9.60,1831473,34.36,21.60,3165.53,42.95,15.83,38.21,27.13,63.19,5.47,23.75
10.,RBZ Jewellers Lt,169.00,5849402,1288062,12.08,19.00,13.44,418595,34.51,24.17,677.08,27.67,54.03,-36.25,-22.17,38.51,30.27,21.98
11.,T B Z,366.80,14938863,4681493,19.99,30.84,32.74,2384611,106.66,95.41,2449.69,50.76,189.44,1.36,-49.85,160.66,29.14,21.89
12.,EIH,294.45,485689,338911,4.30,-2.74,-9.95,306701,1.43,-25.79,18384.54,-1.91,-7.56,-26.61,-51.70,-9.77,8.34,20.67
13.,GNG Electronics,650.50,2006713,896223,6.20,11.24,23.05,742074,47.72,84.15,7424.94,56.21,88.87,-36.71,-31.36,79.57,35.64,20.30
14.,R Systems Intl.,255.74,492812,261665,4.26,5.18,-2.56,285118,-1.49,-44.44,3027.33,-26.74,8.99,4.69,-15.04,-1.56,24.07,19.48
15.,Jindal Stain.,734.00,1153925,619034,4.54,4.65,-0.11,472964,7.68,-2.83,60417.74,7.73,27.78,-0.52,-7.86,-4.55,9.82,19.28
16.,Godrej Agrovet,654.40,11343640,2515393,6.35,7.26,17.53,924331,13.50,-11.84,12589.35,-16.21,3.10,22.40,25.45,7.29,8.58,19.16
17.,Aeroflex,552.05,3152253,2189698,5.07,11.36,26.78,1624098,27.08,215.87,7294.91,162.06,42.06,15.53,6.52,146.75,35.64,18.92
18.,Marine Electric.,432.60,3913786,1830388,7.92,15.82,62.63,1531114,71.36,159.21,6053.99,48.75,51.55,-6.60,-5.71,131.71,21.81,18.22
19.,Steel Str. Wheel,357.25,29468712,6299901,16.88,22.72,15.11,1929022,64.48,59.66,5612.79,43.19,4.67,2.39,10.95,80.52,19.94,15.98
20.,Manoj Vaibhav,162.37,684938,183036,7.51,7.39,-3.43,95642,5.14,-18.29,790.41,20.25,21.18,-5.38,-2.10,5.41,21.52,15.63
21.,M.V.K. Agro,204.20,1023000,703260,4.99,27.59,-38.15,278645,-58.07,-41.50,1031.29,84.93,399.79,-51.06,-79.15,-64.14,113.64,14.37
22.,Savita Oil Tech,771.40,12179767,2593157,12.04,14.51,28.19,1199015,49.90,89.37,5292.59,395.59,204.14,20.90,480.55,113.48,26.15,13.96
23.,Manaksia Steels,104.10,1455055,379704,4.60,20.01,52.24,195961,57.46,74.96,687.18,252.44,244.56,-2.53,19.62,84.97,83.58,13.42
24.,IZMO,916.30,466941,146450,10.00,8.04,-7.71,118032,5.42,43.67,1371.90,103.33,5.60,-40.11,-29.48,33.70,25.79,12.58
25.,Sakar Healthcare,965.75,1182114,298545,11.86,9.14,9.09,156818,18.81,190.54,2148.79,120.13,82.27,2.63,-6.72,82.89,43.76,12.42
26.,Mukka Proteins,26.70,2933027,862676,7.62,3.57,18.46,835893,18.93,-0.52,804.24,1142.76,59.13,28.65,-12.73,20.98,76.01,11.61
27.,DEE Development,619.80,488451,383327,5.00,-4.32,-8.66,238112,-5.76,131.44,4661.36,22.35,52.85,-18.56,-41.91,124.16,40.01,10.92
28.,Divgi Torq,1268.80,677935,208100,6.92,6.59,31.79,314034,58.09,94.11,3883.80,182.64,131.14,27.43,63.05,80.68,76.99,10.22
29.,Vardhman Textile,602.30,27919646,5755708,5.29,0.16,2.82,1476317,-2.88,44.00,17467.19,49.55,-0.47,8.21,66.21,10.21,3.29,8.55
30.,Jaykay Enter.,161.97,1910675,1034538,8.29,10.48,4.75,496193,-3.50,17.65,2447.87,-78.19,85.18,21.93,-97.49,23.77,117.55,8.18
31.,Adani Green,1265.00,4659685,2300120,4.12,-4.89,-8.53,1752955,-11.38,35.80,207845.99,16.89,4.37,26.53,91.25,43.01,10.98,7.39
32.,Yatra Online,113.89,6404883,2083706,7.02,-0.03,6.96,2815405,18.20,-28.47,1786.61,-97.88,-29.07,-0.59,-95.85,2.91,9.35,7.23
33.,GYFTR,182.15,240683,349240,4.31,13.32,14.07,138334,-1.59,62.97,1396.10,,481.60,-47.70,-14.42,-5.71,2579.77,6.77
34.,Bodal Chemicals,126.76,11724217,4688847,6.62,45.62,79.39,1387187,74.07,96.10,1603.08,218.78,128.70,20.58,-5.24,182.95,27.57,6.68
35.,T N Newsprint,149.32,723344,232006,5.99,5.83,-0.90,236749,1.52,-8.40,1036.62,177.46,1119.58,-9.82,-97.61,8.02,2.94,6.40
36.,GHCL Textiles,140.45,2366957,1196641,4.21,11.82,23.61,975919,46.38,80.60,1346.20,191.05,66.75,12.44,42.26,87.74,27.94,5.75
37.,Graphite India,732.90,6845114,2049573,4.32,4.02,11.65,1677506,0.39,41.51,14317.04,28.36,-38.97,3.19,262.86,7.05,21.31,4.58
