S.No.,Company,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %,Sales growth %,ROCE %
1,Indosolar,258.80,180459,147342,4.80,0.21,-13.02,100260,-37.86,-46.37,1081.08,-68.64,-5.73,-17.74,-12.81,-32.81,6.90,123.80
2,HBL Engineering,756.75,8442100,2916250,7.39,4.97,12.94,2459089,-7.20,-13.83,20981.19,-25.07,133.59,5.61,71.25,14.75,62.97,59.30
3,KRM Ayurveda,317.30,188000,237750,6.69,7.98,12.64,115619,33.94,,674.61,124.20,66.28,0.34,16.26,61.43,32.84,35.31
4,Apar Inds.,17801.00,199886,150056,4.25,2.65,3.41,129628,9.34,99.05,74557.69,77.80,36.71,-0.18,84.44,84.03,23.96,31.81
5,Action Const.Eq.,1205.60,796794,483778,4.86,7.53,1.76,354180,23.57,6.29,14348.56,22.28,3.34,-23.68,7.74,45.40,5.21,31.63
6,Quality Power El,1489.80,760950,528371,4.70,2.17,12.43,365313,12.81,50.71,11549.39,49.59,89.95,-17.14,-7.58,78.52,121.98,31.53
7,Algoquant Fin,70.13,2624222,2052098,7.64,9.68,5.82,1654397,18.24,-7.26,1965.29,263.08,135.42,0.76,4.03,28.33,15.86,31.43
8,CSM Technologies,102.64,1850953,3173674,6.67,8.09,2.45,783582,,,530.21,-9.92,83.07,-29.34,-189.03,,13.41,29.19
9,Yash Highvoltage,1080.45,227750,130938,10.71,13.14,17.45,91333,29.36,123.44,3229.22,68.89,82.22,35.38,69.19,130.87,57.22,28.58
10,Bizotic Commer.,121.60,152400,98700,4.39,20.83,-19.50,81257,-0.10,54.06,703.48,146.45,318.41,139.90,15.87,-22.26,124.04,26.79
11,KMC Speciality,156.74,6131997,4054407,6.68,14.03,10.40,880919,36.18,134.92,2532.81,119.76,137.83,11.59,13.26,93.41,35.06,26.24
12,Refex Industries,271.75,522298,316934,4.16,0.67,-9.25,261608,-19.34,-23.80,3727.51,145.38,56.27,-1.91,-31.65,35.52,37.90,22.71
13,Onemi Technology,359.95,2865366,2794472,5.05,7.80,18.97,1671706,21.73,,6387.33,59.16,75.41,8.10,15.70,,63.31,22.66
14,Venus Pipes,2131.70,1350197,535189,9.99,9.37,35.59,278087,37.88,56.26,4411.16,6.66,15.37,6.07,3.57,124.51,21.73,21.27
15,Anlon Healthcare,21.84,51685569,106645694,8.98,24.52,49.28,25714731,33.99,69.17,1163.74,87.61,38.94,72.06,-25.20,80.35,42.96,20.77
16,Grauer & Weil,79.09,1178157,775814,7.52,3.41,19.06,522691,3.53,-15.27,3580.19,-8.71,6.76,-15.95,-19.59,38.29,10.06,20.59
17,Share India Sec.,218.44,30110064,13212402,11.42,11.27,22.66,6976933,57.26,50.97,4776.37,47.48,17.62,7.74,114.35,74.70,14.62,18.41
18,Motisons Jewel,17.94,241516329,89625495,7.94,12.05,6.91,55781318,25.19,-8.28,2021.23,37.61,49.19,-21.92,33.13,37.47,10.73,17.86
19,Syrma SGS Tech.,1617.70,9552512,3335466,7.05,1.18,7.84,2090772,21.27,102.61,31206.57,101.19,84.00,8.44,-11.36,106.37,53.01,16.78
20,Kross Ltd,242.05,1834365,1426770,7.17,4.54,19.53,1015892,28.44,5.35,1563.60,24.39,13.22,-18.23,-40.71,40.98,17.09,16.44
21,Arisinfra Solu.,127.27,3843261,1767638,9.22,0.23,-6.40,2305563,5.56,-19.89,1040.36,306.31,1505.59,-15.30,-7.44,22.65,45.21,15.57
22,Greenply Industr,293.20,278240,170545,4.30,-1.18,1.96,166748,0.52,-9.24,3662.13,50.47,33.78,-6.62,21.28,52.00,14.32,14.33
23,Aeroflex Enter.,122.94,2316266,1830753,8.46,-8.94,-6.07,1326327,-9.52,40.34,1391.24,854.16,202.54,-5.30,302.10,69.50,27.43,12.63
24,Paisalo Digital,88.73,28050030,20882914,4.89,6.84,31.32,15164777,50.88,125.32,8068.28,29.98,22.74,-0.24,-15.12,153.01,22.66,12.38
25,Yatharth Hospit.,1072.40,3857742,1254694,9.17,9.74,25.57,646343,27.70,34.08,10327.79,11.94,27.41,14.96,1.61,67.50,44.00,12.37
26,Ratnaveer Precis,303.85,21983045,11308702,5.96,-2.17,20.97,7125942,61.42,108.12,2550.55,22.01,37.24,26.38,7.11,118.41,17.48,12.29
27,G N F C,584.85,8615342,2463239,8.36,2.47,-4.08,1003294,3.03,15.18,8587.46,275.90,84.52,1.36,-21.21,43.68,12.55,12.03
