S.No.,Name,CMP Rs.,Vol 1d,Avg Vol 1Wk,1day return %,1wk return %,1mth return %,Avg Vol 1Mth,3mth return %,1Yr return %,Mar Cap Rs.Cr.,Qtr Profit Var %,Profit growth %,QoQ Sales %,QoQ Profits %,6mth return %
1.,Bodal Chemicals,118.89,7766843,2692989,19.99,43.40,68.26,894947,64.28,83.84,1503.57,218.78,128.70,20.58,-5.24,164.85
2.,Omaxe,125.52,4654295,10167417,-4.72,23.34,45.68,5016066,63.31,43.47,2289.34,100.48,29.56,16.54,100.68,66.76
3.,Sigma Advanced System,781.95,323277,603396,0.62,18.52,25.40,419414,87.92,486.17,14845.76,-81.87,20.42,15.94,-72.43,395.50
4.,IOL Chemicals,193.69,3060131,7971863,-0.65,14.56,32.37,4854859,47.38,113.46,5689.71,89.87,67.75,22.09,21.25,176.07
5.,Birla Cable,309.86,397068,140856,5.00,14.34,52.03,213901,44.94,97.05,932.93,2190.30,628.86,24.54,183.90,120.68
6.,Imagica. Enter.,56.29,1382030,10907892,-3.07,13.65,19.79,3368067,25.84,-0.78,3184.69,26.19,-77.57,93.34,14292.50,39.85
7.,Ratnaveer Precis,306.02,9584892,7267526,3.75,13.24,69.40,11124332,79.14,117.67,2563.97,22.01,37.24,26.38,7.11,118.37
8.,Morepen Labs.,107.16,43102206,24198484,0.91,12.54,87.87,37846550,134.02,129.81,5870.77,424.65,26.79,17.62,258.92,163.88
9.,Guj Inds. Power,199.36,704941,2298523,-3.18,11.76,23.70,1326103,14.73,12.09,3095.29,174.75,150.02,16.58,-51.69,49.12
10.,Virtuoso Optoel.,556.10,225865,724844,-2.55,11.62,16.19,246156,54.34,5.34,1904.54,27.51,11.75,13.33,53.38,56.23
11.,Ind-Swift Labs.,364.87,738615,1989599,0.54,11.49,62.69,2136548,125.09,279.84,3172.27,183.47,195.01,12.76,63.34,189.07
12.,Sterlite Tech.,728.45,1956942,1663353,0.65,10.62,30.77,2040177,23.25,535.15,37464.34,1870.00,1489.53,32.55,233.90,336.38
13.,Yatharth Hospit.,1001.90,678078,897847,3.57,10.40,22.41,538918,23.24,44.15,9673.74,11.94,27.41,14.96,1.61,51.23
14.,Sh.Pushkar Chem.,470.50,256463,215812,4.23,10.21,18.59,99678,29.51,49.94,1522.83,9.40,7.99,28.37,78.17,53.38
15.,Bliss GVS Pharma,616.75,779957,359870,4.87,9.18,32.45,456756,41.96,296.11,6566.25,16.40,29.05,11.12,38.84,186.05
16.,Indo Count Inds.,469.45,2851408,1024204,7.93,9.07,17.00,2097254,35.58,103.27,9312.64,62.02,-28.57,14.11,161.24,89.45
17.,GHCL Textiles,134.77,1399453,825089,3.04,8.50,18.61,909679,38.70,69.39,1289.10,191.05,66.75,12.44,42.26,85.43
18.,Man Infra,122.62,2692177,3007131,-0.15,7.86,25.02,2971622,3.65,-22.19,4950.16,28.92,-16.93,50.02,52.84,22.30
19.,Knowledge Marine,2924.40,209840,180057,-4.18,7.80,18.72,132113,64.25,211.02,7421.19,447.74,155.66,70.67,166.68,86.39
20.,ASK Automotive,659.90,975578,438554,4.23,7.23,24.97,1867028,49.81,36.92,13023.84,28.83,23.18,18.39,18.98,70.89
21.,Shivalik Bimetal,1070.00,503836,413658,1.98,6.84,42.77,1250193,45.67,119.58,6160.42,44.07,29.97,12.03,26.72,154.07
22.,Raghav Product.,1771.20,130834,115039,1.30,6.54,45.62,113209,75.51,211.04,8119.76,67.55,55.29,23.17,29.09,173.44
23.,Wakefit Innovati,146.78,661795,1096852,1.43,6.51,17.29,1649011,21.01,,4869.91,19.16,548.81,17.84,-80.80,-20.77
24.,Rajputana Stain.,177.66,687486,1104449,0.10,6.39,25.97,1020458,41.25,,1481.66,80.52,25.21,20.25,54.20,
25.,Varroc Engineer,862.00,638301,311388,4.89,6.11,26.91,1223163,50.10,61.32,13175.80,27.94,51.42,11.24,10.28,67.48
26.,Suven Life Scie.,392.05,1784958,695770,7.43,6.03,27.66,939031,42.46,83.24,11079.39,-147.69,-91.31,134.87,-179.85,193.06
27.,Coforge,1985.30,2535035,2712847,-1.45,6.00,15.36,2281343,30.65,15.14,88046.63,96.31,97.53,24.20,-20.19,69.68
28.,Kiri Industries,530.90,3160393,1373488,7.71,5.67,28.04,1236016,35.30,0.01,3456.26,2762.33,340.10,24.69,-43.49,24.60
29.,Apsis Aerocom,564.85,187200,48960,2.00,5.58,30.10,26743,94.61,,680.76,41.81,12.93,24.47,35.90,
30.,KRN Heat Exchan,1553.10,447109,265206,-3.52,5.57,32.25,262969,40.60,80.10,10143.67,164.90,81.77,40.58,40.84,68.97
31.,Motil.Oswal.Fin.,1042.90,707589,1264897,0.44,5.34,22.41,1314830,20.43,21.65,62683.47,9.56,-28.82,28.01,681.31,47.81
32.,Uflex,649.10,253569,358836,2.33,4.83,37.92,731535,45.51,25.64,4683.56,629.63,142.92,32.30,115.82,44.29
33.,Aeroflex,525.40,1023018,1756849,-3.08,4.19,20.66,1551328,25.26,208.30,6948.17,162.06,42.06,15.53,6.52,140.77
34.,Pearl Global Ind,2463.80,273566,213470,6.46,3.86,19.32,243654,49.77,99.74,11380.92,50.93,24.25,16.34,22.55,59.07
